Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Категория товара,Артикул,Бренд,Серия,Материал нагревательного элемента,Подключение бесплатно,"Параметры сети, В/А",Цвет корпуса,Старая цена,Тип водонагревателя,Форм-фактор,"Литраж, л",Способ нагрева,"Макс. мощность электрическая, Вт","Режимы мощности электрической, Вт",Подключение к стандартной розетке,Установка,Подводка,Способ крепления,Тип управления,Пульт ДУ,Количество внутренних баков,Материал внутреннего бака,Сухой ТЭН,Количество анодов,Количество нагревательных элементов,"Время нагрева на ∆t 45° при макс. мощности, мин.","Постоянные суточные потери, кВт⋅ч/сут","Фактическое годовое потребление эл. энергии, кВт⋅ч","Макс. давление воды, МПа","Мин. давление воды, МПа","Макс. температура нагрева воды, °С",Присоединительный размер,Ускоренный нагрев,Тип электрического нагревательного элемента,Точки водоразбора,Класс IP,УЗО,Защита от включения без воды,Режим предотвращения замерзания,Клапан предохранительный,"Диапазон регулировки температуры, °С",Термометр,Индикация включения,Индикация нагрева,Самодиагностика,Дисплей,"Расстояние между патрубками подключения, мм","Расстояние от стены до патрубков подключения, мм","Расстояние от крепежных отверстий до патрубков, мм","Расстояние между крепежными отверстиями, max. мм","Расстояние между крепежными планками, мм","Высота, мм","Глубина, мм","Ширина, мм","Вес, кг","Высота упаковки, мм","Глубина упаковки, мм","Ширина упаковки, мм","Вес упаковки, кг",Страна производитель,"Гарантия на внутренний бак, мес","Гарантия на изделие, мес",EAN,Базовая единица,Ставки налогов,Штрихкод,"Размеры (ДхШхВ), см",Изображения
Garanterm Eco 50 V,156 016,RUB,12513.329,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,Garanterm Eco 50 V с доставкой на uralenergotel.ru,Garanterm Eco 50 V по низким ценам у официального дилера завода ТД УЭТ,garanterm_eco_50_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Eco,Garanterm Eco 50 V,Водонагреватели,156 016,GARANTERM,Eco,медь,,230,белый,14990,накопительный,Плоский,50,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,механическое,,2,нержавеющая сталь,,1,,80,1.36,496,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,нет,,,да,35-75,,да,да,,,100,94,807,350,623,989,268,464,16.4,1025,310,540,18.2,Россия,84,12,4670007717742,шт,20,4670007717742,31x54x102.5,https://shop.thermex.ru/upload/iblock/e1a/mym9f6uqwhiusdzf0j1xdb7bctohk4k3.png
Garanterm Eco 80 V,156 017,RUB,15444.059,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,Garanterm Eco 80 V с доставкой на uralenergotel.ru,Garanterm Eco 80 V по низким ценам у официального дилера завода ТД УЭТ,garanterm_eco_80_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Eco,Garanterm Eco 80 V,Водонагреватели,156 017,GARANTERM,Eco,медь,,230,белый,18190,накопительный,Плоский,80,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,механическое,,2,нержавеющая сталь,,1,,130,1.55,566,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,нет,,,да,35-75,,да,да,,,100,107,974,350,790,1152,299,522,20.9,1190,340,595,23.2,Россия,84,12,4670007717759,шт,20,4670007717759,34x59.5x119,https://shop.thermex.ru/upload/iblock/de7/uqsu06dr57l0iujndofgqg6k1m1qcfjs.png
Garanterm Eco 100 V,156 018,RUB,18374.789,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,Garanterm Eco 100 V с доставкой на uralenergotel.ru,Garanterm Eco 100 V по низким ценам у официального дилера завода ТД УЭТ,garanterm_eco_100_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Eco,Garanterm Eco 100 V,Водонагреватели,156 018,GARANTERM,Eco,медь,,230,белый,22890,накопительный,Плоский,100,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,механическое,,2,нержавеющая сталь,,1,,160,1.76,642,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,нет,,,да,35-75,,да,да,,,100,107,1221,350,1037,1400,299,522,24.4,1435,340,595,26.9,Россия,84,12,4670007717766,шт,20,4670007717766,34x59.5x143.5,https://shop.thermex.ru/upload/iblock/558/8xtay13ib24trkt9bfmu3x195tavsjb5.png
THERMEX MK 50 H,151 151,RUB,14644.769,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX MK 50 H с доставкой на uralenergotel.ru,THERMEX MK 50 H по низким ценам у официального дилера завода ТД УЭТ,thermex_mk_50_h,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Mechanik,MK 50 H,Водонагреватели,151 151,THERMEX,Mechanik,медь,нет,230,белый,19308,накопительный,Плоский,50,электрический,2000,800/1200/2000,да,горизонтальная,нижняя,настенный,механическое,нет,2,нержавеющая сталь,нет,1,1,80,1.4,496.4,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,нет,да,,нет,да,да,нет,нет,200,135,,240,500,434,250,845,12.2,485,295,905,14.7,Китай,84,12,4670033310221,шт,20,4670033310221,29.5x90.5x48.5,https://shop.thermex.ru/upload/iblock/a97/k76dz4hlecjripf6pjkwh8x83w0e9aiq.png
THERMEX MK 80 H,151 152,RUB,18019.549000000003,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX MK 80 H с доставкой на uralenergotel.ru,THERMEX MK 80 H по низким ценам у официального дилера завода ТД УЭТ,thermex_mk_80_h,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Mechanik,MK 80 H,Водонагреватели,151 152,THERMEX,Mechanik,медь,нет,230,белый,23988,накопительный,Плоский,80,электрический,2000,800/1200/2000,да,горизонтальная,нижняя,настенный,механическое,нет,2,нержавеющая сталь,нет,1,1,130,1.6,565.8,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,нет,да,,нет,да,да,нет,нет,200,155,,230,440,514,290,959,17,562,330,1025,20.1,Китай,84,12,4670033310238,шт,20,4670033310238,33x102.5x56.2,https://shop.thermex.ru/upload/iblock/4f1/qtc8qp3c714fslo12e9hioa0en3fizlz.png
THERMEX MK 100 H,151 153,RUB,20595.039,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX MK 100 H с доставкой на uralenergotel.ru,THERMEX MK 100 H по низким ценам у официального дилера завода ТД УЭТ,thermex_mk_100_h,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Mechanik,MK 100 H,Водонагреватели,151 153,THERMEX,Mechanik,медь,нет,230,белый,27468,накопительный,Плоский,100,электрический,2000,800/1200/2000,да,горизонтальная,нижняя,настенный,механическое,нет,2,нержавеющая сталь,нет,1,1,160,1.8,642.4,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,нет,да,,нет,да,да,нет,нет,200,135,105,190,550,514,290,1159,20.5,562,330,1220,23.2,Китай,84,12,4670033310245,шт,20,4670033310245,33x122x56.2,https://shop.thermex.ru/upload/iblock/2b6/s8n5adzvfvotgglylgs7vgv5pwklqffv.png
THERMEX Ceramik 50 H,111 105,RUB,13134.999,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Ceramik 50 H с доставкой на uralenergotel.ru,THERMEX Ceramik 50 H по низким ценам у официального дилера завода ТД УЭТ,thermex_ceramik_50_h,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Ceramik,Ceramik 50 H,Водонагреватели,111 105,THERMEX,Ceramik,TitaniumHeat,,230,белый,18108,накопительный,Плоский,50,электрический,2000,700/1300/2000,да,горизонтальная,нижняя,настенный,механическое,,2,биостеклофарфор,,1,1,79,1.15,420,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,,,да,30-75,,да,да,,,100,136,430,539,539,472,258,858,20,521,311,927,22,Китай,60,12,4670033312133,шт,20,4670033312133,31.1x92.7x52.1,https://shop.thermex.ru/upload/iblock/880/yoqo20amfdpt6nhdnno2qf6cw2r8f4ky.png
THERMEX Ceramik 80 H,111 106,RUB,17042.639,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Ceramik 80 H с доставкой на uralenergotel.ru,THERMEX Ceramik 80 H по низким ценам у официального дилера завода ТД УЭТ,thermex_ceramik_80_h,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Ceramik,Ceramik 80 H,Водонагреватели,111 106,THERMEX,Ceramik,TitaniumHeat,,230,белый,22068,накопительный,Плоский,80,электрический,2000,700/1300/2000,да,горизонтальная,нижняя,настенный,механическое,,2,биостеклофарфор,,1,1,126,1.5,548,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,,,да,30-75,,да,да,,,100,151,460,677,677,530,288,996,25.7,576,346,1065,28.3,Китай,60,12,4670033312140,шт,20,4670033312140,34.6x106.5x57.6,https://shop.thermex.ru/upload/iblock/31f/9d2ddv5qfvrff8b3zvb9irenky051xpx.png
THERMEX Ceramik 30 V,111 101,RUB,10648.319,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Ceramik 30 V с доставкой на uralenergotel.ru,THERMEX Ceramik 30 V по низким ценам у официального дилера завода ТД УЭТ,thermex_ceramik_30_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Ceramik,Ceramik 30 V,Водонагреватели,111 101,THERMEX,Ceramik,TitaniumHeat,,230,белый,14388,накопительный,Плоский,30,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,биостеклофарфор,,1,1,47,0.9,329,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,,да,30-75,нет,да,да,,нет,100,97,428,372,246,587,263,452,14.1,634,311,521,15.9,Китай,60,12,4670033311099,шт,20,4670033311099,31.1x52.1x63.4,https://shop.thermex.ru/upload/iblock/865/9nvaugwb5qxf6w9n89ai8s4tkp9qrot6.png
THERMEX Ceramik 50 V,111 102,RUB,12069.278999999999,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Ceramik 50 V с доставкой на uralenergotel.ru,THERMEX Ceramik 50 V по низким ценам у официального дилера завода ТД УЭТ,thermex_ceramik_50_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Ceramik,Ceramik 50 V,Водонагреватели,111 102,THERMEX,Ceramik,TitaniumHeat,нет,230,белый,16908,накопительный,Плоский,50,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,биостеклофарфор,,1,1,79,1.15,420,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,,да,30-75,нет,да,да,,нет,100,97,721,372,539,880,263,452,20,927,311,521,22,Китай,60,12,4670033311105,шт,20,4670033311105,31.1x52.1x92.7,https://shop.thermex.ru/upload/iblock/f6c/eljvmin4n70ecozopgupvp3egk38xc7k.png
THERMEX Ceramik 80 V,111 103,RUB,16154.539,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Ceramik 80 V с доставкой на uralenergotel.ru,THERMEX Ceramik 80 V по низким ценам у официального дилера завода ТД УЭТ,thermex_ceramik_80_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Ceramik,Ceramik 80 V,Водонагреватели,111 103,THERMEX,Ceramik,TitaniumHeat,,230,белый,20868,накопительный,Плоский,80,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,биостеклофарфор,,1,1,126,1.5,548,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,,да,30-75,нет,да,да,,нет,100,108,859,372,677,1018,293,510,25.7,1065,346,576,28.3,Китай,60,12,4670033311112,шт,20,4670033311112,34.6x57.6x106.5,https://shop.thermex.ru/upload/iblock/5d5/5ssylm4pq1023hdrv4u5sp89k44r5vwk.png
THERMEX Ceramik 100 V,111 104,RUB,18285.979000000003,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Ceramik 100 V с доставкой на uralenergotel.ru,THERMEX Ceramik 100 V по низким ценам у официального дилера завода ТД УЭТ,thermex_ceramik_100_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Ceramik,Ceramik 100 V,Водонагреватели,111 104,THERMEX,Ceramik,TitaniumHeat,,230,белый,22548,накопительный,Плоский,100,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,биостеклофарфор,,1,1,158,1.75,639,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,,да,30-75,нет,да,да,,нет,100,108,1081,372,899,1240,293,510,30.2,1288,346,576,33.1,КИТАЙ,60,12,4670033311129,шт,20,4670033311129,34.6x57.6x128.8,https://shop.thermex.ru/upload/iblock/784/j2d2tiqddl1o6oupl8x853qtzdft0w3m.png
THERMEX ID 30 V (pro) Wi-Fi,151 136,RUB,19085.269,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX ID 30 V (pro) Wi-Fi с доставкой на uralenergotel.ru,THERMEX ID 30 V (pro) Wi-Fi по низким ценам у официального дилера завода ТД УЭТ,thermex_id_30_v_pro_wi-fi,уточняйте у менеджера,Доставка со склада в Москве,Thermex,ID PRO Wi-Fi,ID 30 V (pro) Wi-Fi,Водонагреватели,151 136,THERMEX,ID PRO Wi-Fi,медь,,230,черный,18490,накопительный,Плоский,30,электрический,2000,1300/2000,да,вертикальная,нижняя,настенный,электронное,да,2,нержавеющая сталь,нет,1,1,50,,,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,97,403,240,,580,257,433,8.8,493,310,685,11,Китай,108,12,4670033313314,шт,20,4670033313314,31x68.5x49.3,https://shop.thermex.ru/upload/iblock/645/ngdp5uwbol0yg2ebb53lu10djv0vuse5.png
THERMEX ID 50 V (pro) Wi-Fi,151 137,RUB,21571.949,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX ID 50 V (pro) Wi-Fi с доставкой на uralenergotel.ru,THERMEX ID 50 V (pro) Wi-Fi по низким ценам у официального дилера завода ТД УЭТ,thermex_id_50_v_pro_wi-fi,уточняйте у менеджера,Доставка со склада в Москве,Thermex,ID PRO Wi-Fi,ID 50 V (pro) Wi-Fi,Водонагреватели,151 137,THERMEX,ID PRO Wi-Fi,медь,,230,черный,21790,накопительный,Плоский,50,электрический,2000,1300/2000,да,вертикальная,нижняя,настенный,электронное,да,2,нержавеющая сталь,нет,1,1,85,0.96,348.9,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,97,639,240,,853,257,433,11.5,493,310,955,13.8,Китай,108,12,4670033313321,шт,20,4670033313321,31x95.5x49.3,https://shop.thermex.ru/upload/iblock/04e/1nqbyhf4x6jkakqo3hyokibqklxj75gw.png
THERMEX ID 80 V (pro) Wi-Fi,151 139,RUB,26900.549,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX ID 80 V (pro) Wi-Fi с доставкой на uralenergotel.ru,THERMEX ID 80 V (pro) Wi-Fi по низким ценам у официального дилера завода ТД УЭТ,thermex_id_80_v_pro_wi-fi,уточняйте у менеджера,Доставка со склада в Москве,Thermex,ID PRO Wi-Fi,ID 80 V (pro) Wi-Fi,Водонагреватели,151 139,THERMEX,ID PRO Wi-Fi,медь,,230,черный,26790,накопительный,Плоский,80,электрический,2000,1300/2000,да,вертикальная,нижняя,настенный,электронное,да,2,нержавеющая сталь,нет,1,1,130,1.01,368.2,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,115,730,244,,981,291,493,16,553,345,1085,18.8,Китай,108,12,4670033313345,шт,20,4670033313345,34.5x108.5x55.3,https://shop.thermex.ru/upload/iblock/255/1z5gj26qadsoh51ibs166zzyc8dwuwya.png
